date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:17:04	218818/218818	---MCZ	200	added ('OK')	text/html	etag:cacheable:bc8f35e5d0bb5896183059b5750ba01e	https://goviva.vn/products/1865-master-blend	D:/New%20folder%20(2)/wine/goviva.vn/products/1865-master-blend.html	(from https://goviva.vn/)
11:17:06	318278/318278	---MCZ	200	added ('OK')	text/html	etag:cacheable:f137d5ea7dbd6f01abec92c98a33f131	https://goviva.vn/products/caymus-napa-valley-cabernet-sauvignon?_pos=2&_sid=7b3489918&_ss=r	D:/New%20folder%20(2)/wine/goviva.vn/products/caymus-napa-valley-cabernet-sauvignon3981.html	(from https://goviva.vn/)
11:17:11	50434/50434	---M--	200	added ('OK')	image/jpeg	date:Sun,%2024%20Oct%202021%2010:48:30%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/files/web_banner_Hallowent_02-4_2048x.jpg?v=1635065300	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/files/web_banner_Hallowent_02-4_2048x6589.jpg	(from https://goviva.vn/)
11:17:12	271966/271966	---MCZ	200	added ('OK')	text/html	etag:cacheable:a47348a73f5f583760af19a9915e7001	https://goviva.vn/collections/featured-products	D:/New%20folder%20(2)/wine/goviva.vn/collections/featured-products.html	(from https://goviva.vn/)
11:17:20	88334/88334	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Oct%202021%2009:16:00%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/files/WhatsApp_Image_2021-10-13_at_13.49.35_2048x.jpg?v=1634113485	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/files/WhatsApp_Image_2021-10-13_at_13.49.35_2048x7bff.jpg	(from https://goviva.vn/)
11:17:33	167511/167511	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Oct%202021%2007:53:59%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/files/web_banner_Bio_Organic-4_2048x.jpg?v=1634370259	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/files/web_banner_Bio_Organic-4_2048xc8a1.jpg	(from https://goviva.vn/)
11:17:40	173038/173038	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Nov%202021%2013:32:21%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/files/Picture3_a59348a8-0895-44b5-9848-465cac3de9b6_440x301.png?v=1634134848	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/files/Picture3_a59348a8-0895-44b5-9848-465cac3de9b6_440x3010271.png	(from https://goviva.vn/)
11:17:41	352611/352611	---MCZ	200	added ('OK')	text/html	etag:cacheable:fb7554029093163b3c125380a6f7ca9f	https://goviva.vn/collections/featured-products/products/gato-negro	D:/New%20folder%20(2)/wine/goviva.vn/collections/featured-products/products/gato-negro.html	(from https://goviva.vn/)
11:17:43	159324/159324	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:42e25eb75edfc7fe8f1f0181ef66b6e0	https://goviva.vn/pages/wishlist	D:/New%20folder%20(2)/wine/goviva.vn/pages/wishlist	(from https://goviva.vn/)
11:17:50	226649/226649	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Oct%202021%2013:13:19%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/files/Picture1_eed62d73-6d94-43de-8719-a10baa744c92_440x301.png?v=1634135028	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/files/Picture1_eed62d73-6d94-43de-8719-a10baa744c92_440x301927f.png	(from https://goviva.vn/)
11:17:51	179069/179069	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Oct%202021%2007:07:23%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/files/Picture2_f614d12d-8ec9-45ba-be24-8cb6732eddac_440x301.png?v=1634134839	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/files/Picture2_f614d12d-8ec9-45ba-be24-8cb6732eddac_440x301aa7f.png	(from https://goviva.vn/)
11:17:52	70225/70225	---M--	200	added ('OK')	image/png	date:Sat,%2023%20Oct%202021%2016:26:33%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/products/gatonegrored_370x480.png?v=1605078924	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/products/gatonegrored_370x480e607.png	(from https://goviva.vn/)
11:17:57	352077/352077	---MCZ	200	added ('OK')	text/html	etag:cacheable:b24058ab7d30042557c2c947bfac82b5	https://goviva.vn/collections/featured-products/products/9lives-vina-san-pedro	D:/New%20folder%20(2)/wine/goviva.vn/collections/featured-products/products/9lives-vina-san-pedro.html	(from https://goviva.vn/)
11:18:02	56671/56671	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Oct%202021%2001:58:55%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/products/output-onlinepngtools-5_370x480.png?v=1634663956	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/products/output-onlinepngtools-5_370x480f5f7.png	(from https://goviva.vn/)
11:18:03	361946/361946	---MCZ	200	added ('OK')	text/html	etag:cacheable:b1adc0020bc23268966fc9c4728b0fb2	https://goviva.vn/collections/featured-products/products/torbreck-old-vines-2017	D:/New%20folder%20(2)/wine/goviva.vn/collections/featured-products/products/torbreck-old-vines-2017.html	(from https://goviva.vn/)
11:18:16	76380/76380	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Oct%202021%2020:50:05%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/products/Torbreck-Old-Vines-Grenache-Shiraz-Mourvedre-2012_2_370x480.png?v=1591888148	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/products/Torbreck-Old-Vines-Grenache-Shiraz-Mourvedre-2012_2_370x4800720.png	(from https://goviva.vn/)
11:18:19	213722/213722	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Nov%202021%2017:05:01%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/products/gatonegrored.png?v=1605078924	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/products/gatonegrorede607.png	(from https://goviva.vn/)
11:18:22	118550/118550	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Oct%202021%2007:53:59%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/products/Torbreck-Old-Vines-Grenache-Shiraz-Mourvedre-2005_370x480.png?v=1591888148	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/products/Torbreck-Old-Vines-Grenache-Shiraz-Mourvedre-2005_370x4800720.png	(from https://goviva.vn/)
11:18:26	357062/357062	---MCZ	200	added ('OK')	text/html	etag:cacheable:6b7b0fa9cd72393556127318476bf983	https://goviva.vn/collections/featured-products/products/zonin-prosecco-cuvee-1821	D:/New%20folder%20(2)/wine/goviva.vn/collections/featured-products/products/zonin-prosecco-cuvee-1821.html	(from https://goviva.vn/)
11:18:35	75515/75515	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Oct%202021%2021:03:25%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/products/Zonin-prosecco-cuvee-1821-01_370x480.png?v=1597631203	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/products/Zonin-prosecco-cuvee-1821-01_370x4800e16.png	(from https://goviva.vn/)
11:18:43	357816/357816	---MCZ	200	added ('OK')	text/html	etag:cacheable:0ac2c56805bafce233cefa0a02ab4933	https://goviva.vn/collections/featured-products/products/gatonegro-sauvignon-blanc	D:/New%20folder%20(2)/wine/goviva.vn/collections/featured-products/products/gatonegro-sauvignon-blanc.html	(from https://goviva.vn/)
11:18:44	305274/305274	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Nov%202021%2013:47:13%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/products/output-onlinepngtools-5.png?v=1634663956	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/products/output-onlinepngtools-5f5f7.png	(from https://goviva.vn/)
11:18:58	89571/89571	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2020:34:40%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/products/GatoNegro-SauvignonBlanc_370x480.png?v=1605062752	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/products/GatoNegro-SauvignonBlanc_370x480402a.png	(from https://goviva.vn/)
11:19:01	211253/211253	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Oct%202021%2013:02:05%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/products/Zonin-prosecco-cuvee-1821-01.png?v=1597631203	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/products/Zonin-prosecco-cuvee-1821-010e16.png	(from https://goviva.vn/)
11:19:06	355598/355598	---MCZ	200	added ('OK')	text/html	etag:cacheable:7efb57c35d2163632810b99c65ff3fb1	https://goviva.vn/collections/featured-products/products/gaja-camarcanda-promis	D:/New%20folder%20(2)/wine/goviva.vn/collections/featured-products/products/gaja-camarcanda-promis.html	(from https://goviva.vn/)
11:19:15	78443/78443	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2011:59:36%20GMT	http://cdn.shopify.com/s/files/1/0294/4958/4715/products/Gaja-Ca_Marcanda-Promis-03-03_370x480.png?v=1593153347	D:/New%20folder%20(2)/wine/cdn.shopify.com/s/files/1/0294/4958/4715/products/Gaja-Ca_Marcanda-Promis-03-03_370x480135f.png	(from https://goviva.vn/)
